news_headline,news_article,news_category,full_text,clean_text
Elon Musk laughs at meme suggesting Bezos will touch only the edge of space,"Elon Musk tweeted ""Haha"" on a meme suggesting that Jeff Bezos will only be touching the edge of space on his Blue Origin flight scheduled for July 20. ""Sorry, Richard Branson was nowhere near orbit, just like Jeff in a few days,"" a user commented. Earlier, astrophysicist Neil deGrasse Tyson claimed that Branson didn't travel to space on July 11.",technology,"Elon Musk laughs at meme suggesting Bezos will touch only the edge of space. Elon Musk tweeted ""Haha"" on a meme suggesting that Jeff Bezos will only be touching the edge of space on his Blue Origin flight scheduled for July 20. ""Sorry, Richard Branson was nowhere near orbit, just like Jeff in a few days,"" a user commented. Earlier, astrophysicist Neil deGrasse Tyson claimed that Branson didn't travel to space on July 11.",elon musk laugh meme suggesting bezo touch edge space elon musk tweet haha meme suggesting jeff bezos touch edge space blue origin flight schedule july sorry richard branson nowhere near orbit like jeff day user comment early astrophysicist neil degrasse tyson claim branson nt travel space july
What is 'Pegasus' spyware and how does it hack phones?,"Israeli tech firm NSO Group's 'Pegasus' spyware, sold only to governments, can turn one's phone into a 24-hour surveillance device without even the user noticing. The hacking could happen through a malicious URL, exploiting a bug in voice calls, or a missed call. Pegasus can potentially access chats, files, messages, location and even the microphone of the compromised device.",technology,"What is 'Pegasus' spyware and how does it hack phones?. Israeli tech firm NSO Group's 'Pegasus' spyware, sold only to governments, can turn one's phone into a 24-hour surveillance device without even the user noticing. The hacking could happen through a malicious URL, exploiting a bug in voice calls, or a missed call. Pegasus can potentially access chats, files, messages, location and even the microphone of the compromised device.",pegasus spyware hack phone israeli tech firm nso group pegasus spyware sell government turn one phone hour surveillance device without even user noticing hacking could happen malicious url exploit bug voice call miss call pegasus potentially access chat file message location even microphone compromise device
"Shiv Nadar steps down as HCL Tech's MD, appointed as Chairman Emeritus","HCL Technologies Chief Strategy Officer and Managing Director Shiv Nadar has stepped down as the company's Managing Director as well as the Director, HCL Technologies announced. Nadar, who Founded HCL Group in 1976, has been appointed as the Chairman Emeritus & Strategic Advisor to the Board. President & CEO C Vijayakumar will also be the MD for five years.",technology,"Shiv Nadar steps down as HCL Tech's MD, appointed as Chairman Emeritus. HCL Technologies Chief Strategy Officer and Managing Director Shiv Nadar has stepped down as the company's Managing Director as well as the Director, HCL Technologies announced. Nadar, who Founded HCL Group in 1976, has been appointed as the Chairman Emeritus & Strategic Advisor to the Board. President & CEO C Vijayakumar will also be the MD for five years.",shiv nadar step hcl tech md appoint chairman emeritus hcl technology chief strategy officer manage director shiv nadar step company manage director well director hcl technology announce nadar found hcl group appoint chairman emeritus strategic advisor board president ceo c vijayakumar also md five year
Using spyware against journalists is unacceptable: EU chief,"European Commission President Ursula von der Leyen said it was ""completely unacceptable"" to use spyware against journalists after reports suggested Israeli spyware 'Pegasus' was used to hack journalists' smartphones worldwide including India. She added, ""Freedom of media, free press is one of the core values of the EU...This has to be verified, but if it's the case, it's completely unacceptable.""",technology,"Using spyware against journalists is unacceptable: EU chief. European Commission President Ursula von der Leyen said it was ""completely unacceptable"" to use spyware against journalists after reports suggested Israeli spyware 'Pegasus' was used to hack journalists' smartphones worldwide including India. She added, ""Freedom of media, free press is one of the core values of the EU...This has to be verified, but if it's the case, it's completely unacceptable.""",use spyware journalist unacceptable eu chief european commission president ursula von der leyen say completely unacceptable use spyware journalist report suggest israeli spyware pegasus use hack journalist smartphone worldwide include india add freedom medium free press one core value eu verify case completely unacceptable
"Bitcoin slips below $30,000 for the first time in a month  ","Bitcoin on Tuesday fell as much as 4.1% to slip below $30,000 for the first time in about a month. Other virtual currencies including Ether and meme-based token Dogecoin also declined amid renewed fears of Delta variant spread and its subsequent impact on global growth. Meanwhile, Bloomberg Galaxy Crypto Index was down about 5%. ",technology,"Bitcoin slips below $30,000 for the first time in a month  . Bitcoin on Tuesday fell as much as 4.1% to slip below $30,000 for the first time in about a month. Other virtual currencies including Ether and meme-based token Dogecoin also declined amid renewed fears of Delta variant spread and its subsequent impact on global growth. Meanwhile, Bloomberg Galaxy Crypto Index was down about 5%. ",bitcoin slip first time month bitcoin tuesday fall much slip first time month virtual currency include ether meme base token dogecoin also decline amid renew fear delta variant spread subsequent impact global growth meanwhile bloomberg galaxy crypto index
"Bitcoin's price to soar up to $470,000 by 2030: Survey","The price of the world's largest cryptocurrency Bitcoin will reach $470,000 by the year 2030, according to a survey of cryptocurrency experts. Majority of the experts said that hyperbitcoinisation, the moment when Bitcoin overtakes global finance, will happen by 2050. Bitcoin is expected to be priced at $66,284 at 2021-end, according to 61% of panelists.",technology,"Bitcoin's price to soar up to $470,000 by 2030: Survey. The price of the world's largest cryptocurrency Bitcoin will reach $470,000 by the year 2030, according to a survey of cryptocurrency experts. Majority of the experts said that hyperbitcoinisation, the moment when Bitcoin overtakes global finance, will happen by 2050. Bitcoin is expected to be priced at $66,284 at 2021-end, according to 61% of panelists.",bitcoin price soar survey price world large cryptocurrency bitcoin reach year accord survey cryptocurrency expert majority expert say hyperbitcoinisation moment bitcoin overtake global finance happen bitcoin expect price end accord panelist
Google fires exec who said he no longer hates Jews in LinkedIn post,"Google has fired Amr Awadallah, developer relations VP for Google Cloud, days after he published a LinkedIn manifesto about Israeli-Palestinian relations and admitted that he used to ""hate"" Jews. Google employees had reportedly objected to how he described Jews and expressed concerns about his past beliefs. Awadallah had said the piece was to promote tolerance and understanding.",technology,"Google fires exec who said he no longer hates Jews in LinkedIn post. Google has fired Amr Awadallah, developer relations VP for Google Cloud, days after he published a LinkedIn manifesto about Israeli-Palestinian relations and admitted that he used to ""hate"" Jews. Google employees had reportedly objected to how he described Jews and expressed concerns about his past beliefs. Awadallah had said the piece was to promote tolerance and understanding.",google fire exec say no long hate jews linkedin post google fire amr awadallah developer relation vp google cloud day publish linkedin manifesto israeli palestinian relation admit use hate jews google employee reportedly object describe jews express concern past belief awadallah say piece promote tolerance understanding
Soft robot plays song on piano using 'air-powered' memory,"UC Riverside researchers have developed pneumatic computer memory that they used to help a soft robot play a song on a piano. They produced an 8-bit pneumatic RAM chip and incorporated it into a pair of 3D-printed rubber hands. The RAM uses atmospheric-pressure air to represent a '0' or FALSE value, and vacuum to represent a '1' or TRUE value.",technology,"Soft robot plays song on piano using 'air-powered' memory. UC Riverside researchers have developed pneumatic computer memory that they used to help a soft robot play a song on a piano. They produced an 8-bit pneumatic RAM chip and incorporated it into a pair of 3D-printed rubber hands. The RAM uses atmospheric-pressure air to represent a '0' or FALSE value, and vacuum to represent a '1' or TRUE value.",soft robot play song piano use air power memory uc riverside researcher develop pneumatic computer memory use help soft robot play song piano produce bit pneumatic ram chip incorporate pair print rubber hand ram use atmospheric pressure air represent false value vacuum represent true value
New iPhones may have an always-on display like Apple Watch: Report,"The upcoming iPhones, which are expected to launch in September 2021, may have an always-on display similar to Apple's Watch, Bloomberg's Mark Gurman reported. He also said that the new iPhones are expected to have a new display for improved battery life, a smaller notch on the screen, better video recording, a 120Hz refresh rate, and a faster A15 chip.",technology,"New iPhones may have an always-on display like Apple Watch: Report. The upcoming iPhones, which are expected to launch in September 2021, may have an always-on display similar to Apple's Watch, Bloomberg's Mark Gurman reported. He also said that the new iPhones are expected to have a new display for improved battery life, a smaller notch on the screen, better video recording, a 120Hz refresh rate, and a faster A15 chip.",new iphone may always display like apple watch report upcoming iphone expect launch september may always display similar apple watch bloomberg mark gurman report also say new iphone expect new display improve battery life small notch screen well video recording hz refresh rate fast chip
Aave to build alternative version of Twitter using Ethereum: Founder,"Decentralised finance protocol Aave's Founder and CEO Stani Kulechov said that he wants to build an alternative version of Twitter using Ethereum. The new platform will let users monetise their content and frame their own rules, Kulechov told Decrypt. ""Twitter makes all the revenue from your tweets and the content you share,"" he said, adding users don't own their audience.",technology,"Aave to build alternative version of Twitter using Ethereum: Founder. Decentralised finance protocol Aave's Founder and CEO Stani Kulechov said that he wants to build an alternative version of Twitter using Ethereum. The new platform will let users monetise their content and frame their own rules, Kulechov told Decrypt. ""Twitter makes all the revenue from your tweets and the content you share,"" he said, adding users don't own their audience.",aave build alternative version twitter use ethereum founder decentralise finance protocol aave founder ceo stani kulechov say want build alternative version twitter use ethereum new platform let user monetise content frame rule kulechov tell decrypt twitter make revenue tweet content share say add user nt audience
Digital yuan could be used to spy on US Olympic athletes: Senators,"Three US Senators have written to Susanne Lyons, Board Chair of the US Olympic Committee, warning that the use of digital yuan by US athletes during the Beijing Olympics could be used to spy on them. They have asked the committee to ""forbid"" American athletes from receiving or using digital yuan during the Beijing Olympics in 2022.

",technology,"Digital yuan could be used to spy on US Olympic athletes: Senators. Three US Senators have written to Susanne Lyons, Board Chair of the US Olympic Committee, warning that the use of digital yuan by US athletes during the Beijing Olympics could be used to spy on them. They have asked the committee to ""forbid"" American athletes from receiving or using digital yuan during the Beijing Olympics in 2022.

",digital yuan could use spy olympic athlete senator three us senator write susanne lyons board chair us olympic committee warn use digital yuan athlete beijing olympic could use spy ask committee forbid american athlete receive use digital yuan beijing olympics
"Mike Tyson asks fans if they prefer Bitcoin or Ethereum, Dorsey responds","Former US boxer Mike Tyson asked his followers in a tweet whether they prefer Bitcoin or Ethereum, in response to which Twitter CEO Jack Dorsey posted a link to ""Hello Bitcoin"", a website that helps people learn about Bitcoin. Commenting on Tyson's post, American billionaire Michael Saylor said that he has purchased Bitcoin worth $2.9 billion.",technology,"Mike Tyson asks fans if they prefer Bitcoin or Ethereum, Dorsey responds. Former US boxer Mike Tyson asked his followers in a tweet whether they prefer Bitcoin or Ethereum, in response to which Twitter CEO Jack Dorsey posted a link to ""Hello Bitcoin"", a website that helps people learn about Bitcoin. Commenting on Tyson's post, American billionaire Michael Saylor said that he has purchased Bitcoin worth $2.9 billion.",mike tyson ask fan prefer bitcoin ethereum dorsey respond former us boxer mike tyson ask follower tweet whether prefer bitcoin ethereum response twitter ceo jack dorsey post link hello bitcoin website help people learn bitcoin comment tyson post american billionaire michael saylor say purchase bitcoin worth billion
I'm travelling to space to help build infrastructure: Jeff Bezos,"World's richest person Jeff Bezos said he's travelling to space to help build infrastructure for the future generations. Speaking on TODAY show, he said, ""Today, getting into space is so expensive that you can't do very many interesting things in space...It's the job of this generation to build that infrastructure."" Bezos is set to travel to space on July 20.",technology,"I'm travelling to space to help build infrastructure: Jeff Bezos. World's richest person Jeff Bezos said he's travelling to space to help build infrastructure for the future generations. Speaking on TODAY show, he said, ""Today, getting into space is so expensive that you can't do very many interesting things in space...It's the job of this generation to build that infrastructure."" Bezos is set to travel to space on July 20.",I travel space help build infrastructure jeff bezos world rich person jeff bezos say travel space help build infrastructure future generation speak today show say today get space expensive ca nt many interesting thing space job generation build infrastructure bezos set travel space july
Microsoft secures US court order to take down malicious domains,"Microsoft said it has secured an order from the US court to take down several malicious 'homoglyph' domains used by cybercriminals. The company said that the 'homoglyphs' exploit similarities of alpha-numeric characters to create deceptive domains and impersonate legitimate organisations. The court order eliminates defendants' ability to move these malicious domains to other providers, it added.",technology,"Microsoft secures US court order to take down malicious domains. Microsoft said it has secured an order from the US court to take down several malicious 'homoglyph' domains used by cybercriminals. The company said that the 'homoglyphs' exploit similarities of alpha-numeric characters to create deceptive domains and impersonate legitimate organisations. The court order eliminates defendants' ability to move these malicious domains to other providers, it added.",microsoft secure court order take malicious domain microsoft say secure order us court take several malicious homoglyph domain use cybercriminal company say homoglyph exploit similarity alpha numeric character create deceptive domain impersonate legitimate organisation court order eliminate defendant ability move malicious domain provider add
"3 robots collide at Ocado's warehouse in UK, cause fire","Online-only British supermarket Ocado said it expected ""some disruption to operations"" after a robot collision at one of its warehouses caused a fire. The collision of three bots that are used to fill orders triggered the fire, leading to the cancellation of some delivery orders. About 800 staff were evacuated and no injuries were reported, the London Fire Brigade said.",technology,"3 robots collide at Ocado's warehouse in UK, cause fire. Online-only British supermarket Ocado said it expected ""some disruption to operations"" after a robot collision at one of its warehouses caused a fire. The collision of three bots that are used to fill orders triggered the fire, leading to the cancellation of some delivery orders. About 800 staff were evacuated and no injuries were reported, the London Fire Brigade said.",robot collide ocado warehouse uk cause fire online british supermarket ocado say expect disruption operation robot collision one warehouse cause fire collision three bot use fill order trigger fire lead cancellation delivery order staff evacuate no injury report london fire brigade say
I have spent just around 25 days at home in the last 5 years: Rashid Khan,"Afghanistan T20I captain Rashid Khan has revealed that he has spent just around 25 days at home in last five years. ""I didn't have that opportunity to celebrate my achievements with family because I was just so busy,"" he said. ""I forgot my achievements and that hurts sometimes. I don’t get enough time to be with the family,"" he stated.",sports,"I have spent just around 25 days at home in the last 5 years: Rashid Khan. Afghanistan T20I captain Rashid Khan has revealed that he has spent just around 25 days at home in last five years. ""I didn't have that opportunity to celebrate my achievements with family because I was just so busy,"" he said. ""I forgot my achievements and that hurts sometimes. I don’t get enough time to be with the family,"" he stated.",I spend around day home last year rashid khan afghanistan ti captain rashid khan reveal spend around day home last five year I nt opportunity celebrate achievement family I busy say I forget achievement hurt sometimes I nt get enough time family state
"People become legends when they retire, Kohli became a legend at 30: Yuvraj","Praising India captain Virat Kohli, ex-all-rounder Yuvraj Singh said, ""People become legends when they retire. At 30, he already became a legend."" Yuvraj added, ""It was really great to watch him grow as a cricketer. Hope he finishes on a high, because he has got a lot of time."" Yuvraj further said that Kohli became ""more consistent"" after becoming captain.",sports,"People become legends when they retire, Kohli became a legend at 30: Yuvraj. Praising India captain Virat Kohli, ex-all-rounder Yuvraj Singh said, ""People become legends when they retire. At 30, he already became a legend."" Yuvraj added, ""It was really great to watch him grow as a cricketer. Hope he finishes on a high, because he has got a lot of time."" Yuvraj further said that Kohli became ""more consistent"" after becoming captain.",people become legend retire kohli become legend yuvraj praise india captain virat kohli ex rounder yuvraj singh say people become legend retire already become legend yuvraj add really great watch grow cricketer hope finish high get lot time yuvraj far say kohli become consistent become captain
Norway women's beach-handball team fined for wearing shorts instead of bikini bottoms,"The Norwegian women's beach-handball team has been fined €1,500 for wearing shorts instead of bikini bottoms during a game. ""Women should wear a bikini where the top should be a tight-fitting sports bra with deep openings at the arms. The bottom must not be more than ten centimetres on the sides,"" the regulations say.",sports,"Norway women's beach-handball team fined for wearing shorts instead of bikini bottoms. The Norwegian women's beach-handball team has been fined €1,500 for wearing shorts instead of bikini bottoms during a game. ""Women should wear a bikini where the top should be a tight-fitting sports bra with deep openings at the arms. The bottom must not be more than ten centimetres on the sides,"" the regulations say.",norway woman beach handball team fine wear short instead bikini bottom norwegian woman beach handball team fine wear short instead bikini bottom game woman wear bikini top tight fit sport bra deep opening arm bottom must not ten centimetre side regulation say
Coaching on every point should be allowed in tennis: Stefanos Tsitsipas,"World number four men's tennis player Stefanos Tsitsipas has said that coaching on every point should be allowed in tennis. He added, ""The sport needs to embrace it. We're probably one of the only global sports that doesn't use coaching during the play. Make it legal. It's about time the sport takes a big step forward.""",sports,"Coaching on every point should be allowed in tennis: Stefanos Tsitsipas. World number four men's tennis player Stefanos Tsitsipas has said that coaching on every point should be allowed in tennis. He added, ""The sport needs to embrace it. We're probably one of the only global sports that doesn't use coaching during the play. Make it legal. It's about time the sport takes a big step forward.""",coach every point allow tennis stefano tsitsipa world number four man tennis player stefano tsitsipa say coach every point allow tennis add sport need embrace probably one global sport nt use coaching play make legal time sport take big step forward
I had already told everyone I'll hit the 1st ball for a six: Ishan Kishan on ODI debut,"Talking about smashing a six on the first ball of his ODI debut against Sri Lanka on Sunday, Team India wicketkeeper-batsman Ishan Kishan said, ""I had already told everyone that I will hit the first ball for a six."" He added, ""The odds were in my favour- birthday and a good pitch."" Kishan slammed 59 runs off 42 deliveries.",sports,"I had already told everyone I'll hit the 1st ball for a six: Ishan Kishan on ODI debut. Talking about smashing a six on the first ball of his ODI debut against Sri Lanka on Sunday, Team India wicketkeeper-batsman Ishan Kishan said, ""I had already told everyone that I will hit the first ball for a six."" He added, ""The odds were in my favour- birthday and a good pitch."" Kishan slammed 59 runs off 42 deliveries.",I already tell everyone I hit st ball six ishan kishan odi debut talk smash six first ball odi debut sri lanka sunday team india wicketkeeper batsman ishan kishan say I already tell everyone I hit first ball six add odd favour birthday good pitch kishan slam run delivery
"Misleading, inappropriate: AITA on Sania, Bopanna's tweets on Olympics qualification","All India Tennis Association (AITA) has condemned tennis players Rohan Bopanna and Sania Mirza's tweets on Tokyo Olympics qualifications, calling them ""inappropriate and misleading"". Bopanna had alleged that AITA ""misled"" players by saying that Bopanna and Sumit Nagal had a chance at qualification for the Games. Mirza then said, ""If this is true then it's absolutely ridiculous and shameful.""",sports,"Misleading, inappropriate: AITA on Sania, Bopanna's tweets on Olympics qualification. All India Tennis Association (AITA) has condemned tennis players Rohan Bopanna and Sania Mirza's tweets on Tokyo Olympics qualifications, calling them ""inappropriate and misleading"". Bopanna had alleged that AITA ""misled"" players by saying that Bopanna and Sumit Nagal had a chance at qualification for the Games. Mirza then said, ""If this is true then it's absolutely ridiculous and shameful.""",misleading inappropriate aita sania bopanna tweet olympic qualification india tennis association aita condemn tennis player rohan bopanna sania mirza tweet tokyo olympics qualification call inappropriate misleading bopanna allege aita mislead player say bopanna sumit nagal chance qualification game mirza say true absolutely ridiculous shameful
Jaffer shares Bollywood-themed pic with hidden message for fans ahead of 2nd ODI,"Ahead of second ODI between India and Sri Lanka, Odisha head coach Wasim Jaffer shared a collage with a hidden message for fans and captioned it, ""Players to watch out for."" The collage showed Shah Rukh Khan and Salman Khan from 'Karan Arjun', and Darsheel Safary's 'Taare Zameen Par' character 'Ishaan Awasthi'. ""Pandya brothers and Ishan Kishan,"" a fan commented.",sports,"Jaffer shares Bollywood-themed pic with hidden message for fans ahead of 2nd ODI. Ahead of second ODI between India and Sri Lanka, Odisha head coach Wasim Jaffer shared a collage with a hidden message for fans and captioned it, ""Players to watch out for."" The collage showed Shah Rukh Khan and Salman Khan from 'Karan Arjun', and Darsheel Safary's 'Taare Zameen Par' character 'Ishaan Awasthi'. ""Pandya brothers and Ishan Kishan,"" a fan commented.",jaffer share bollywood themed pic hidden message fan ahead nd odi ahead second odi india sri lanka odisha head coach wasim jaffer share collage hidden message fan caption player watch collage show shah rukh khan salman khan karan arjun darsheel safary taare zameen par character ishaan awasthi pandya brother ishan kishan fan comment
When are Indian men's hockey team's matches at Tokyo Olympics?,"Indian men's hockey team will open their Tokyo Olympics campaign against New Zealand in a Group A match on July 24. They will face Australia on July 25 and Spain on July 27. India will play their last group matches against Argentina and Japan on July 29 and July 30, respectively. Indian men's hockey team have won 8 Olympic golds.",sports,"When are Indian men's hockey team's matches at Tokyo Olympics?. Indian men's hockey team will open their Tokyo Olympics campaign against New Zealand in a Group A match on July 24. They will face Australia on July 25 and Spain on July 27. India will play their last group matches against Argentina and Japan on July 29 and July 30, respectively. Indian men's hockey team have won 8 Olympic golds.",indian man hockey team match tokyo olympics indian man hockey team open tokyo olympics campaign new zealand group match july face australia july spain july india play last group match argentina japan july july respectively indian man hockey team win olympic gold
